"IDStations","PRO_COM","weight"
"545",18189,0.06575
"546",3049,0.00012
"546",15002,0.0215
"546",15005,0.02437
"546",15010,0.02229
"546",15019,0.01357
"546",15026,0.0441
"546",15061,0.04173
"546",15085,0.11049
"546",15096,0.00151
"546",15113,0.03435
"546",15130,0.22358
"546",15134,0.09398
"546",15144,0.06661
"546",15164,0.06137
"546",15184,0.18839
"546",15200,0.05205
"548",15146,0.99544
"548",15157,0.00047
"548",15192,0.00043
"548",15209,0.00365
"551",12026,0.13009
"551",12042,0.00493
"551",15007,0.0993
"551",15019,0.00118
"551",15038,0.08674
"551",15041,0.10657
"551",15058,0.0187
"551",15062,0.00715
"551",15096,0.08123
"551",15099,0.06092
"551",15113,0.14152
"551",15118,0.06201
"551",15131,0.10164
"551",15134,0.00891
"551",15144,0.02536
"551",15164,0.02394
"551",15194,0.00012
"551",15248,0.03948
"551",15249,2e-04
"552",12004,0.02029
"552",12006,0.01066
"552",12008,0.03632
"552",12015,0.00353
"552",12016,0.0106
"552",12021,0.03078
"552",12025,0.00951
"552",12038,0.04767
"552",12043,0.04242
"552",12055,0.00142
"552",12058,0.00117
"552",12063,0.00053
"552",12071,0.02629
"552",12072,0.00021
"552",12073,0.00593
"552",12083,0.13364
"552",12093,0.04825
"552",12131,0.02189
"552",12133,0.54887
"554",12034,0.09931
"554",12050,0.02347
"554",12075,0.0853
"554",12109,0.091
"554",12119,0.12815
"554",12130,0.10857
"554",13028,0.00292
"554",13100,0.00154
"554",13128,0.00612
"554",13133,0.0118
"554",13201,0.04076
"554",13202,0.06215
"554",13227,0.12084
"554",15072,0.01871
"554",15076,0.02786
"554",15105,0.01705
"554",15116,0.01927
"554",15181,0.00023
"554",15213,0.03347
"554",108018,0.03371
"554",108020,0.02873
"554",108025,0.01315
"554",108032,0.0259
"558",12026,0.33647
"558",12042,0.0283
"558",12070,0.00035
"558",12098,1e-05
"558",12108,0.04895
"558",12118,0.05722
"558",15007,0.07896
"558",15038,0.07949
"558",15041,0.08037
"558",15062,0.02124
"558",15099,0.06096
"558",15113,1e-05
"558",15118,0.04987
"558",15131,0.11562
"558",15248,0.03299
"558",15249,0.00919
"560",12004,0.04139
"560",12006,0.04711
"560",12015,0.00234
"560",12023,0.00988
"560",12025,0.02702
"560",12030,0.00309
"560",12038,0.03436
"560",12046,0.00426
"560",12064,0.01729
"560",12071,0.02143
"560",12073,0.05395
"560",12083,0.11083
"560",12091,0.01873
"560",12093,0.02063
"560",12096,0.01798
"560",12105,0.01978
"560",12133,0.54937
"560",12134,0.00057
"561",13026,0.05688
"561",13032,0.02384
"561",13043,0.00877
"561",13044,0.00151
"561",13053,0.01433
"561",13065,0.10609
"561",13075,0.39353
"561",13110,0.03086
"561",13129,0.00671
"561",13135,0.00473
"561",13144,0.01511
"561",13152,0.03757
"561",13154,0.05022
"561",13206,0.06679
"561",13212,0.0103
"561",13223,0.01256
"561",13245,0.05188
"561",13251,0.00469
"564",13003,0.10896
"564",13004,0.01358
"564",13006,0.02166
"564",13007,0.03618
"564",13009,0.03814
"564",13013,0.01579
"564",13037,0.00142
"564",13042,0.0246
"564",13052,0.08161
"564",13058,0.02168
"564",13095,0.20446
"564",13097,0.05746
"564",13098,0.04571
"564",13121,0.00931
"564",13134,0.01779
"564",13136,0.01805
"564",13147,0.03712
"564",13153,0.04577
"564",13170,0.03536
"564",13188,0.03638
"564",13192,0.02538
"564",13193,0.00394
"564",13195,0.02647
"564",97026,0.04223
"564",97056,0.0021
"564",97072,0.02886
"565",13007,0.03256
"565",13029,0.01191
"565",13035,0.00855
"565",13041,0.26842
"565",13043,0.06277
"565",13046,0.06007
"565",13053,0.02564
"565",13064,0.06497
"565",13075,0.0463
"565",13084,0.06285
"565",13101,0.05644
"565",13102,0.00626
"565",13143,0.07393
"565",13157,0.01903
"565",13163,0.03326
"565",13170,0.01571
"565",13212,0.03549
"565",13242,0.039
"565",108025,0.00619
"565",108030,0.0018
"565",108054,0.06883
"569",14002,0.26855
"569",14011,0.0483
"569",14015,0.02967
"569",14028,0.05405
"569",14044,0.1701
"569",14049,0.05895
"569",14051,0.00848
"569",14061,0.24484
"569",14062,0.0438
"569",14067,0.07326
"571",14009,0.30051
"571",14071,0.19722
"571",14072,0.35218
"571",14073,0.1501
"572",14001,0.0613
"572",14006,0.09884
"572",14017,0.00447
"572",14022,0.15455
"572",14024,0.17724
"572",14025,0.02255
"572",14041,0.11089
"572",14045,0.16352
"572",14047,0.01918
"572",14055,0.06063
"572",14063,0.06348
"572",14069,0.06335
"573",13089,0.02863
"573",13107,0.0789
"573",13155,0.03387
"573",13216,0.13578
"573",13226,0.03379
"573",13239,0.0369
"573",14026,0.04482
"573",14027,0.04107
"573",14048,0.07362
"573",14075,1e-05
"573",97023,0.33115
"573",97032,0.08179
"573",97063,0.0103
"573",97077,0.02882
"573",97093,0.04055
"574",97001,0.08685
"574",97003,0.00476
"574",97004,0.06033
"574",97013,0.02142
"574",97022,0.02022
"574",97034,0.01496
"574",97036,0.1323
"574",97038,0.0397
"574",97042,0.40748
"574",97045,0.02223
"574",97046,0.02832
"574",97055,0.00068
"574",97057,0.0148
"574",97059,0.00385
"574",97068,0.02464
"574",97083,0.09036
"574",97086,0.02711
"576",16046,0.00437
"576",16074,0.00551
"576",16171,0.0019
"576",16238,0.01286
"576",97002,0.00346
"576",97010,0.05032
