"Lon","Lat","unique.df1.id."
11.55,46.05,699
11.65,46.05,700
11.75,46.05,701
11.85,46.05,702
8.05,46.15,703
8.15,46.15,704
8.25,46.15,705
8.35,46.15,706
8.45,46.15,707
8.55,46.15,708
8.65,46.15,709
8.75,46.15,710
8.85,46.15,711
8.95,46.15,712
9.05,46.15,713
9.15,46.15,714
9.25,46.15,715
9.35,46.15,716
9.45,46.15,717
9.55,46.15,718
9.65,46.15,719
9.75,46.15,720
9.85,46.15,721
9.95,46.15,722
10.05,46.15,723
10.15,46.15,724
10.25,46.15,725
10.35,46.15,726
10.45,46.15,727
10.55,46.15,728
10.65,46.15,729
10.75,46.15,730
10.85,46.15,731
10.95,46.15,732
11.05,46.15,733
11.15,46.15,734
11.25,46.15,735
11.35,46.15,736
11.45,46.15,737
11.55,46.15,738
11.65,46.15,739
11.75,46.15,740
11.85,46.15,741
8.05,46.25,742
8.15,46.25,743
8.25,46.25,744
8.35,46.25,745
8.45,46.25,746
8.55,46.25,747
8.65,46.25,748
8.75,46.25,749
8.85,46.25,750
8.95,46.25,751
9.05,46.25,752
9.15,46.25,753
9.25,46.25,754
9.35,46.25,755
9.45,46.25,756
9.55,46.25,757
9.65,46.25,758
9.75,46.25,759
9.85,46.25,760
9.95,46.25,761
10.05,46.25,762
10.15,46.25,763
10.25,46.25,764
10.35,46.25,765
10.45,46.25,766
10.55,46.25,767
10.65,46.25,768
10.75,46.25,769
10.85,46.25,770
10.95,46.25,771
11.05,46.25,772
11.15,46.25,773
11.25,46.25,774
11.35,46.25,775
11.45,46.25,776
11.55,46.25,777
11.65,46.25,778
11.75,46.25,779
11.85,46.25,780
8.05,46.35,781
8.15,46.35,782
8.25,46.35,783
8.35,46.35,784
8.45,46.35,785
8.55,46.35,786
8.65,46.35,787
8.75,46.35,788
8.85,46.35,789
8.95,46.35,790
9.05,46.35,791
9.15,46.35,792
9.25,46.35,793
9.35,46.35,794
9.45,46.35,795
9.55,46.35,796
9.65,46.35,797
9.75,46.35,798
9.85,46.35,799
9.95,46.35,800
10.05,46.35,801
10.15,46.35,802
10.25,46.35,803
10.35,46.35,804
10.45,46.35,805
10.55,46.35,806
10.65,46.35,807
10.75,46.35,808
10.85,46.35,809
10.95,46.35,810
11.05,46.35,811
11.15,46.35,812
11.25,46.35,813
11.35,46.35,814
11.45,46.35,815
11.55,46.35,816
11.65,46.35,817
11.75,46.35,818
11.85,46.35,819
8.05,46.45,820
8.15,46.45,821
8.25,46.45,822
8.35,46.45,823
8.45,46.45,824
8.55,46.45,825
8.65,46.45,826
8.75,46.45,827
8.85,46.45,828
8.95,46.45,829
9.05,46.45,830
9.15,46.45,831
9.25,46.45,832
9.35,46.45,833
9.45,46.45,834
9.55,46.45,835
9.65,46.45,836
9.75,46.45,837
9.85,46.45,838
9.95,46.45,839
10.05,46.45,840
10.15,46.45,841
10.25,46.45,842
10.35,46.45,843
10.45,46.45,844
10.55,46.45,845
10.65,46.45,846
10.75,46.45,847
10.85,46.45,848
10.95,46.45,849
11.05,46.45,850
11.15,46.45,851
11.25,46.45,852
11.35,46.45,853
11.45,46.45,854
11.55,46.45,855
11.65,46.45,856
11.75,46.45,857
11.85,46.45,858
8.05,46.55,859
8.15,46.55,860
8.25,46.55,861
8.35,46.55,862
8.45,46.55,863
8.55,46.55,864
8.65,46.55,865
8.75,46.55,866
8.85,46.55,867
8.95,46.55,868
9.05,46.55,869
9.15,46.55,870
9.25,46.55,871
9.35,46.55,872
9.45,46.55,873
9.55,46.55,874
9.65,46.55,875
9.75,46.55,876
9.85,46.55,877
9.95,46.55,878
10.05,46.55,879
10.15,46.55,880
10.25,46.55,881
10.35,46.55,882
10.45,46.55,883
10.55,46.55,884
10.65,46.55,885
10.75,46.55,886
10.85,46.55,887
10.95,46.55,888
11.05,46.55,889
11.15,46.55,890
11.25,46.55,891
11.35,46.55,892
11.45,46.55,893
11.55,46.55,894
11.65,46.55,895
11.75,46.55,896
11.85,46.55,897
8.05,46.65,898
8.15,46.65,899
8.25,46.65,900
8.35,46.65,901
8.45,46.65,902
8.55,46.65,903
8.65,46.65,904
8.75,46.65,905
8.85,46.65,906
8.95,46.65,907
9.05,46.65,908
9.15,46.65,909
9.25,46.65,910
9.35,46.65,911
9.45,46.65,912
9.55,46.65,913
9.65,46.65,914
9.75,46.65,915
9.85,46.65,916
9.95,46.65,917
10.05,46.65,918
10.15,46.65,919
10.25,46.65,920
10.35,46.65,921
10.45,46.65,922
10.55,46.65,923
10.65,46.65,924
10.75,46.65,925
10.85,46.65,926
10.95,46.65,927
11.05,46.65,928
11.15,46.65,929
11.25,46.65,930
11.35,46.65,931
11.45,46.65,932
11.55,46.65,933
11.65,46.65,934
11.75,46.65,935
11.85,46.65,936
8.05,46.75,937
8.15,46.75,938
8.25,46.75,939
8.35,46.75,940
8.45,46.75,941
8.55,46.75,942
8.65,46.75,943
8.75,46.75,944
8.85,46.75,945
8.95,46.75,946
9.05,46.75,947
9.15,46.75,948
9.25,46.75,949
9.35,46.75,950
9.45,46.75,951
9.55,46.75,952
9.65,46.75,953
9.75,46.75,954
9.85,46.75,955
9.95,46.75,956
10.05,46.75,957
10.15,46.75,958
10.25,46.75,959
10.35,46.75,960
10.45,46.75,961
10.55,46.75,962
10.65,46.75,963
10.75,46.75,964
10.85,46.75,965
10.95,46.75,966
11.05,46.75,967
11.15,46.75,968
11.25,46.75,969
11.35,46.75,970
11.45,46.75,971
11.55,46.75,972
11.65,46.75,973
11.75,46.75,974
11.85,46.75,975
8.05,46.85,976
8.15,46.85,977
8.25,46.85,978
8.35,46.85,979
8.45,46.85,980
8.55,46.85,981
8.65,46.85,982
8.75,46.85,983
8.85,46.85,984
8.95,46.85,985
9.05,46.85,986
9.15,46.85,987
9.25,46.85,988
9.35,46.85,989
9.45,46.85,990
9.55,46.85,991
9.65,46.85,992
9.75,46.85,993
9.85,46.85,994
9.95,46.85,995
10.05,46.85,996
10.15,46.85,997
10.25,46.85,998
10.35,46.85,999
10.45,46.85,1000
10.55,46.85,1001
10.65,46.85,1002
10.75,46.85,1003
10.85,46.85,1004
10.95,46.85,1005
11.05,46.85,1006
11.15,46.85,1007
11.25,46.85,1008
11.35,46.85,1009
11.45,46.85,1010
11.55,46.85,1011
11.65,46.85,1012
11.75,46.85,1013
11.85,46.85,1014
8.05,46.95,1015
8.15,46.95,1016
8.25,46.95,1017
8.35,46.95,1018
8.45,46.95,1019
8.55,46.95,1020
8.65,46.95,1021
8.75,46.95,1022
8.85,46.95,1023
8.95,46.95,1024
9.05,46.95,1025
9.15,46.95,1026
9.25,46.95,1027
9.35,46.95,1028
9.45,46.95,1029
9.55,46.95,1030
9.65,46.95,1031
9.75,46.95,1032
9.85,46.95,1033
9.95,46.95,1034
10.05,46.95,1035
10.15,46.95,1036
10.25,46.95,1037
10.35,46.95,1038
10.45,46.95,1039
10.55,46.95,1040
10.65,46.95,1041
10.75,46.95,1042
10.85,46.95,1043
10.95,46.95,1044
11.05,46.95,1045
11.15,46.95,1046
11.25,46.95,1047
11.35,46.95,1048
11.45,46.95,1049
11.55,46.95,1050
11.65,46.95,1051
11.75,46.95,1052
11.85,46.95,1053
